Title,Artist Name,Year Created,Url,Refrence No
"Uria lomvia (L.),Uria rhingvia Brunn","Johann Friedrich Naumann (German, 1780 – 1857)",L.,https://artvee.com/dl/uria-lomvia-l-uria-rhingvia-brunn-2/,704204an.jpg
A Red-handed Tamarin (1776),"Jacob Perkois (Dutch, 1756-1804)",1776,https://artvee.com/dl/a-red-handed-tamarin/,705157an.jpg
Macklot’s Trogon (1850-1883),"John Gould (English, 1804-1881)",1850-1883,https://artvee.com/dl/macklots-trogon/,701954an.jpg
Polyzoa XIV (1885-1890),"Frederick McCoy (Irish, 1817-1899)",1885-1890,https://artvee.com/dl/polyzoa-xiv/,704670an.jpg
Ducks Getting Out of the Water,"Alexander Koester (German, 1864-1932)",None,https://artvee.com/dl/ducks-getting-out-of-the-water/,704903an.jpg
"Anthus trivialis, pratensis, Richardi Vieillot, cervinus, pensilvanicus","Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/anthus-trivialis-pratensis-richardi-vieillot-cervinus-pensilvanicus/,703982an.jpg
Atlantic trunkfish (1929-1932),"Stephen Haweis (American, 1878–1969)",1929-1932,https://artvee.com/dl/atlantic-trunkfish/,702810an.jpg
Spaniel and Woodcock (ca. 1861–1897),"Arthur Fitzwilliam Tait (American, 1819-1905)",ca. 1861–1897,https://artvee.com/dl/spaniel-and-woodcock/,700048an.jpg
Female Merganser (1901),"Bruno Liljefors (Swedish, 1860–1939)",1901,https://artvee.com/dl/female-merganser/,702998an.jpg
Fashion in a Landscape with Horses Beyond (1855),Henri Delattre,1855,https://artvee.com/dl/fashion-in-a-landscape-with-horses-beyond/,707018an.jpg
Beberlöwe (Berber Lion),"Wilhelm Kuhnert (German, 1865-1926)",Berber Lion,https://artvee.com/dl/beberlowe-berber-lion/,701522an.jpg
"Ein Straußenpaar, im Hintergrund ein Sarkophag (1723)","Ignaz Heinitz von Heinzenthal (Austrian, 1657-1742)",1723,https://artvee.com/dl/ein-strausenpaar-im-hintergrund-ein-sarkophag/,703603an.jpg
Bull (1847),"Eugène Joseph Verboeckhoven (Belgian, 1798-1881)",1847,https://artvee.com/dl/bull-6/,706485an.jpg
Hens And Cocks,"Charles Emile Jacque (French, 1813 - 1894)",None,https://artvee.com/dl/hens-and-cocks/,700682an.jpg
"Rhodostethia rosea, Xema Sabinii (Sab.), Rissa tridactyla","Johann Friedrich Naumann (German, 1780 – 1857)",Sab.,https://artvee.com/dl/rhodostethia-rosea-xema-sabinii-sab-rissa-tridactyla/,704176an.jpg
Mountain Trogon (1850-1883),"John Gould (English, 1804-1881)",1850-1883,https://artvee.com/dl/mountain-trogon-2/,701962an.jpg
Hounds and a Terrier in a Stable,"John Emms (English, 1843–1912)",None,https://artvee.com/dl/hounds-and-a-terrier-in-a-stable/,702575an.jpg
La Mungitura,"Beppe Ciardi (Italian, 1875–1932)",None,https://artvee.com/dl/la-mungitura/,700679an.jpg
"Calcarius lapponicus, Plectrophenax nivalis","Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/calcarius-lapponicus-plectrophenax-nivalis/,703989an.jpg
"Euploea Limniace, Euploea Plexippe (1858)","James Duncan (Canadian, 1806-1881)",1858,https://artvee.com/dl/euploea-limniace-euploea-plexippe/,701790an.jpg
Tucked Up (1904),"Frederick George Cotman (English, 1850–1920)",1904,https://artvee.com/dl/tucked-up/,702354an.jpg
Colombe A Tête Rose (1838),"Coenraad Jacob Temminck (Dutch, 1778-1858)",1838,https://artvee.com/dl/colombe-a-tete-rose/,700695an.jpg
Die Nordamerikanische Vogelwelt pl27 (1891),"Christian Anton Goering (German, 1836-1905)",1891,https://artvee.com/dl/die-nordamerikanische-vogelwelt-pl27/,705780an.jpg
Hasenkopf,"Hans Hug Kluber (Swiss, 1535-1578)",None,https://artvee.com/dl/hasenkopf/,701775an.jpg
"The Red Drum or Channel Bass, Scioena ocellata. (1898)","John L. Petrie (American, 19th Century)",1898,https://artvee.com/dl/the-red-drum-or-channel-bass-scioena-ocellata/,705647an.jpg
Alca torda,"Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/alca-torda-2/,704102an.jpg
"The Spot, or Lafayette, Leiostomus xanthurus. (1898)","John L. Petrie (American, 19th Century)",1898,https://artvee.com/dl/the-spot-or-lafayette-leiostomus-xanthurus/,705655an.jpg
