Title,Artist Name,Year Created,Url,Refrence No
Adorning the Bride,"Carl Herpfer (German, 1836-1897)",None,https://artvee.com/dl/adorning-the-bride/,234764fg.jpg
In the Park (1888-1892),"Stanisław Dębicki (Polish, 1866-1924)",1888-1892,https://artvee.com/dl/in-the-park-8/,230032fg.jpg
Alexander Maconochie (1777–1861) of Meadowbank,"Sir Henry Raeburn (English, 1756-1823)",1777–1861,https://artvee.com/dl/alexander-maconochie-1777-1861-of-meadowbank/,225204fg.jpg
In Erwartung der Zeitung (1865-1870),"Carl Spitzweg (German, 1808-1880)",1865-1870,https://artvee.com/dl/in-erwartung-der-zeitung/,225886fg.jpg
Study of a Model,"Carl Wilhelmson (Swedish, 1866 - 1928)",None,https://artvee.com/dl/study-of-a-model/,200366fg.jpg
Mother and Children (c. 1843 - 1848),"Paul Delaroche (French, 1797-1856)",c. 1843 - 1848,https://artvee.com/dl/mother-and-children/,216096fg.jpg
A Moroccan in Repose (1892),"Louis Auguste Girardot (French, 1858–1933)",1892,https://artvee.com/dl/a-moroccan-in-repose-2/,243414fg.jpg
Portrait of a Young Woman in Traditional Dress,"Nikolai Vasilievich Haritonoff (Russian, 1880-1944)",None,https://artvee.com/dl/portrait-of-a-young-woman-in-traditional-dress/,230783fg.jpg
An Elegant Turkish Gentleman At a Balustrade,"Jan Josef Horemans The Elder (Flemish, 1682-1759)",None,https://artvee.com/dl/an-elegant-turkish-gentleman-at-a-balustrade/,226847fg.jpg
Study of a Seated Girl (1860 – 1869),"David Jacobsen (Danish, 1821 - 1871)",1860 – 1869,https://artvee.com/dl/study-of-a-seated-girl/,212004fg.jpg
"Warden of the Mosque, Damascus (1891)","Gustav Bauernfeind (German, 1848 - 1904)",1891,https://artvee.com/dl/warden-of-the-mosque-damascus/,221995fg.jpg
Ein guter Schluck,"Ernst Nowak (Austrian, 1853-1919)",None,https://artvee.com/dl/ein-guter-schluck-2/,234951fg.jpg
Misbehaving,"William Henry Gore (English, 1857 - 1942)",None,https://artvee.com/dl/misbehaving/,217084fg.jpg
Marguerite cousant dans un paysage arboré (1889),"Henri-Joseph Harpignies (French, 1819-1916)",1889,https://artvee.com/dl/marguerite-cousant-dans-un-paysage-arbore/,228433fg.jpg
Dame in atelier achter harmonium (1867 - 1923),"George Hendrik Breitner (Dutch, 1857-1923)",1867 - 1923,https://artvee.com/dl/dame-in-atelier-achter-harmonium/,232677fg.jpg
Phryne revealed before the Areopagus (1861),"Jean-Léon Gérôme (French, 1824-1904)",1861,https://artvee.com/dl/phryne-revealed-before-the-areopagus/,201686fg.jpg
Charles Ephrussi (1906),"Léon Bonnat (French, 1833-1922)",1906,https://artvee.com/dl/charles-ephrussi/,224055fg.jpg
Piccioni alla finestra,"Virgilio Ripari (Italian, 1843-1902)",None,https://artvee.com/dl/piccioni-alla-finestra/,238753fg.jpg
Portrait of Mrs. Joseph Henshaw (1768-1772),"John Singleton Copley (American, 1738-1815)",1768-1772,https://artvee.com/dl/portrait-of-mrs-joseph-henshaw/,242628fg.jpg
Étude de nu (ca 1842),"Gustave Courbet (French, 1819-1877)",ca 1842,https://artvee.com/dl/etude-de-nu-3/,236297fg.jpg
Joseph Ramelmayr (Rammelmayer),"Carl Rahl (Austrian, 1812 - 1865)",Rammelmayer,https://artvee.com/dl/joseph-ramelmayr-rammelmayer/,223481fg.jpg
Dame mit Hut in gelbem Kleid,"Eduard Veith (Austrian, 1856 - 1925)",None,https://artvee.com/dl/dame-mit-hut-in-gelbem-kleid-2/,234856fg.jpg
"Anna van der Aar (born 1576, died after 1626) (1626)","Frans Hals (Dutch, c. 1581-1666)",1626,https://artvee.com/dl/anna-van-der-aar-born-1576-died-after-1626/,224679fg.jpg
"Le Maréchal De Turenne Endormi, La Veille De La Bataille De Turckheim","Charles-Jacques Lebel (French, ?-1827)",None,https://artvee.com/dl/le-marechal-de-turenne-endormi-la-veille-de-la-bataille-de-turckheim/,800641ht.jpg
"Admiral Sir David Beatty, Lord Beatty (1920)","Cecilia Beaux (American, 1855-1942)",1920,https://artvee.com/dl/admiral-sir-david-beatty-lord-beatty/,215154fg.jpg
